Word,Definition,Type,Note
abase,,,
abate,,,abated
abject,,,abjects
abode,,,
acquit,,,
accord,,,
Achor,,name,
adamant,,,
addicted,,,
adjure,,,
admonish,,,
ado,,,
advertise,,,
affinity,,,
afford,,,affording
affright,,,
afoot,,,
afore,,,
afresh,,,
agone,,,
ague,,,
alamoth,,,
Aholah,,name,
Aholibah,,name,
all to,,,
alleluia,,,
alms,,,
albeit,,,
almsdeed,,,
almug,,,
amazement,,,
ambassage,,,
ambushment,,,
amiss,,,
amiable,,,
aloof,,,
alway,,,
amerce,,,
Anathema Maranatha,,,might split up into two words
angle,,,
anise,,,
anon,,,
apace,,,
apparel,,,
appertain,,,
Ariel,,name,
apothecary,,,
apprehend,,,
array,,,
art,,,thou art
artificier,,,
asp,,name,
ashamed,,,
assent,,,
assay,,,
astonied,,,
asunder,,,
attain,,,
attent,,,
augment,,,
austere,,,
aught,,,
aul,,,
averse,,,
avouch,,,avouched
away with,,phrase,
axletree,,,
bade,,,
balm,,,
backbiting,,,
banquetings,,,
baptize,,,immerse/dip
bakemeat,,,
band,,,
barbarous,,,
bark,,,barked
Barjona,,,
base,,,lowly
became him,,phrase,
battlement,,,
baths,,,
beam,,,
beckon,,,
bedstead,,,
beeve,,,beeves
beget,,,begat
begotten,,,
behemoth,,,
behove,,,
bekah,,,
belied,,,
belly,,,
beseech,,,
beset,,,
beside himself,,phrase,
besought,,,
bestead,,,
bestir,,,
besom,,,
bestow,,,
bethink,,,
betime,,,
betimes,,,
betwixt,,,
bewail,,,
bewray,,,
billow,,,
bishoprick,,,
bide,,,
bier,,,
bittern,,,
blain,,,blains
blame,,,
blaze,,,
blast,,,
blasting,,,
boll,,,bolled
bolster,,,
bondman,,,
booth,,,
borne,,,
boss,,,bosses
bosom,,,
botch,,,
bowels,,,
bow,,,
brawler,,,
bray a fool,,phrase,
bray,,,see Samson
briars,,,
breeches,,,
breach,,,
brigandine,,,
brimstone,,,
broid,,,broided
brood,,,
brutish,,,
bruit,,,
broider,,,
buckler,,,
buffet,,,
bullock,,,
bunches of camels,,phrase,
bulrush,,,
bulwark,,,
busybody,,,
by and by,,phrase,
byword,,,
cab,,,
calker,,,
calve,,,
calve,,,
camphire,,,
carbuncle,,,
canker,,,cankered
carnal,,,
carriage,,,
careful,,,
cast angle,,phrase,
cast in the teeth,,phrase,
cankerworm,,,
casement,,,
caterpiller,,,
caul,,,
cauls,,,
celestial,,,
centurion,,,
ceiling,,,
censer,,,
Cephas,,name,"""stone"""
certify,,,
chafed,,,
chamber,,,
chambering,,,
chamberlain,,,
chamois,,,
chapiter,,,
chapmen,,,
chargeable,,,
charge,,,
charger,,,
charity,,,
chaste,,,
chastise,,,
check,,,
chide,,,chode
choler,,,
churl,,,
cieled,,,
circumspect,,,
clamour,,,
cleanness of teeth,,phrase,
cleave,,,
cleave unto,,phrase,
cleft,,,
clamorous,,,
clod,,,
cloven,,,
clout,,,
cockatrice,,,
cockle,,,
cogitation,,,
collop,,,
colt,,,
comely,,,
commend,,,
commit,,,
communicate,,,
compass,,,
compel,,,
comprehend,,,
concision,,,
concord,,,
concourse,,,
concupiscence,,,
conduit,,,
consecrate,,,
coney,,,
confectionary,,,
conference,,,
confound,,,
contemn,,,
constantly,,,
constrain,,,
contention,,,
contentious,,,
contrariwise,,,
convenient,,,
conversation,,,
convey,,,
consumption,,,
conveyed,,,
convince,,,
coping,,,
cormorant,,,
corn,,,
cotes,,,
cornet,,,
coulter,,,
countenance,,,
countervail,,,
covert,,,
cracknels,,,
crisping pin,,,
crib,,,
cruse,,,
cumbered,,,
cummin,,,
cuckow,,,
cunning,,,
curious,,,
curious arts,,,
dam,,,
dainty,,,
dale,,,
dandled,,,
dash,,,
daysman,,,
dayspring,,,
daub,,,
defer,,,
dearth,,,
defraud,,,
degree,,,
deputed,,,
derision,,,
descry,,,
despite,,,
detain,,,
device,,,
diadem,,,
disannul,,,
discomfit,,,
discover,,,
discretion,,,
disdain,,,
dismay,,,
disorderly,,,
dispensation,,,
disquiet,,,
dissembled,,,
dissembler,,,
dissimulation,,,
distaff,,,
divers,,,
divine,,,verb
doleful,,,
dote,,,
dram,,measure,
dragon,,,
draught,,,
draught house,,,
draught of fish,,,
draw,,,
dreg,,,
dropsy,,,
drove,,,
dryshod,,,
duke,,,
durst,,,
ear,,,I Samuel 8.12
earing,,,
earnest,,,
effeminate,,,
emerod,,,
emulation,,,
endamage,,,
endow,,,
endue,,,
ensample,,,
ensign,,,
enjoin,,,
enmity,,,
ensue,,,
environ,,,
ephah,,measure,
ephod,,,
epistle,,,
ere,,,
eschew,,,
espy,,,espied
euroclydon,,,
eveningtide,,,
even,,,
eventide,,,
every several,,phrase,
evermore,,,
exactor,,,
exacted,,,
excellent,,,
exhort,,,exhortation
expedient,,,
extol,,,
eye of a needle,,phrase,
eyesalve,,,
eyeservice,,,
fable,,,
fain,,,
fairs,,,
fall to the ground,,phrase,
fan,,,
fast,,,
fatling,,,
fashion,,,
feebleminded,,,
feign,,,
felloe,,,
fen,,,fens
fetched a compass,,phrase,
fet,,,
fetter,,,
fillet,,,
firebrand,,,
firkin,,measure,
firmament,,,
fitch,,,
flagon,,,
flay,,,
flowers,,,her flowers
flesh,,,
flight,,,
flixe,,,
flux,,,bloody
foal,,,
fold,,,
forbear,,,
foresaw,,,
forwardness,,,
be forward,,,see forwardness?
fords,,,
forepart,,,
fornication,,,
forswear,,,
forthwith,,,
forward,,,
foursquare,,,
founder,,,
fray,,,
fret,,,
fretting,,,
froward,,,
fuller,,,
furbish,,,
furlong,,measure,
furnish,,,
gaddest about,,phrase,
gainsay,,,
garner,,,
garner,,,
gat,,,
gall,,,
garrison,,,
gazingstock,,,
gender,,,II Tim 2.23
gier eagle,,,
gin,,,
gird,,,see girt?
girdle,,,see girt?
girt,,,
glass,,,mirror
glean,,,
glede,,,
glister,,,
gnash,,,
go to,,phrase,
goad,,,
goodly,,,
goodman,,,
grave,,,
graven,,,
grievous,,,
grisled,,,
grind,,,
gross,,,
grove,,,
guestchamber,,,
guile,,,
habergeon,,,
hale,,,
haling,,,
halt,,,
hap,,,her hap was to
haply,,,
harrow,,,
hard by,,phrase,
hardly bestead,,phrase,
haft,,,
hart,,,
hale,,,
halt,,,
hate,,,
hath,,,
haughty,,,
haunt,,,
heady,,,
heaps,,,
hearken,,,
heartily,,,
hearty,,,
heath,,,
heaviness,,,
heed,,,
hedge,,,
helm,,,
helve,,,
hence,,,
henceforth,,,
hereafter,,,
hereby,,,
herein,,,
hereof,,,
heretofore,,,
hereunto,,,
herewith,,,
hew,,,
hewn,,,
hin,,,
hind,,,
hinder end,,,
hip and thigh,,phrase,
hireling,,,
hither,,,
hitherto,,,see hither?
hoar,,,
hoarfrost,,,
hoary,,,see hoar?
holden,,,
holpen,,,
holyday,,,
horseleach,,,
hosen,,,
hosanna,,,
host,,,
hough,,,houghed
howbeit,,,
howsoever,,,
hungerbitten,,,
husbandman,,,
husbandry,,,
hyssop,,,
ignominy,,,
imperious,,,
implacable,,,
implead,,,
impotent,,,
in no wise,,phrase,
immutable,,,
impudent,,,
impute,,,
incline,,,
incontinent,,,
indite,,,inditing
infirmity,,,
inordinate,,,
insomuch,,,
instant,,,
issue,,,
intreaty,,,
jangling,,,
joined hard,,phrase,
jealous,,,
Jesurun,,name,
jot,,,
Jewry,,,
justle,,,
kin,,,
kindred,,,see kin
kite,,,
kine,,,
knop,,,
lade,,,
lasciviousness,,,
latchet,,,
ladeth,,,
languish,,,
lapwing,,,
laver,,,
league,,,
leasing,,,
lees,,,
let,,,was let
leviathan,,,
light off,,phrase,
light on,,phrase,"verb, intransitive; see Ruth 2.3"
light upon,,phrase,see light on
lentiles,,,
lest,,,
levy,,,
liberal,,,
liberality,,,
lien,,,
lign aloes,,,
likeness,,,
lintel,,,
lively,,,
listeth,,,listed
lo,,,
locust,,,
lot,,,to cast
lot,,,one's
loins,,,
longsuffering,,,
loweth,,,
lowing,,,
lowring,,,
lucre,,,
lusty,,,
lurk,,,
mammon,,,
magnifical,,,
