King James,King Jesus,Note
ancle,ankle,
armour,armor,
armourbearer,armorbearer,
armoury,armory,
Aser,Asher,
asswage,assuage,
be tween,between,
behaviour,behavior,
caldron,cauldron,
carcase,carcass,
champaign,campaign,"may be a plain; field; flat, open land"
Chanaan,Canaan,
Charran,Haran,
cloke,cloak,
colour,color,
Core,Korah
Elias, Elijah
Eliseus,Elisha
Emmor,Hamor
Esaias, Isaiah
endeavour,endeavor
enquire,inquire
evilfavouredness,evilfavoredness
fats,vats
favour,favor
fulfil,fulfill
garlick,garlic
havock,havoc
heretick,heretic
honour,honor
inclose,enclose
intreat,entreat
Jeremias,Jeremiah
Jesus,Joseph,Acts 7.45; Col 4.11; Heb 4.8
judgment,judgement,
labour,labor,
loth,loathe,
marvelled,marveled,
mould,mold,
musick,music,
neighbour,neighbor,
odour,odor,
ought,aught,Not sure if it always is? See John 4.33
pourtrayed,portrayed,
practise,practice,
publick,public,
rase,raze,
rasor,razor,
Saviour,Savior,
savour,savor
savourest,savorest
sergeant,sergent
shew,show
shewn,shown
Sina,Sinai
skilful,skillful
spue,spew
spunge,sponge
stoick,stoic
strake,struck
strow,strew
Sychem,Shechem
Syriack,Syriac
taber,tabor
to day,today
to morrow,tomorrow
traffick,traffic
valour,valor
vapour,vapor
ware,wore
winefat,winevat
